id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,yr_built,zipcode,lat,sqft_living15,sqft_lot15
7129300520,20141013T000000,221900,3,1,1080,5650,1,3,7,1080,1955,98178,47.5102,1340,5650
6414100192,20141209T000000,538000,3,2.25,2570,7242,2,3,7,2170,1951,98125,47.721,1690,7639
5631500400,20150225T000000,180000,2,1,770,10000,1,3,6,770,1933,98028,47.7379,2720,8062
2487200875,20141209T000000,604000,4,3,1960,5000,1,5,7,1050,1965,98136,47.5208,1360,5000
1954400510,20150218T000000,510000,3,2,1680,8080,1,3,8,1680,1987,98074,47.6168,1800,7503
7237550310,20140512T000000,1.23E+06,4,4.5,5420,101930,1,3,10,3890,2001,98053,47.6561,4760,101930
1321400060,20140627T000000,257500,3,2.25,1715,6819,2,3,7,1715,1995,98003,47.3097,2238,6819
2008000270,20150105T000000,291850,3,1.5,1060,9710,1,3,7,1060,1963,98198,47.4095,1650,9710
2414600126,20150415T000000,229500,3,1,1780,7470,1,3,7,1050,1960,98146,47.5123,1780,8103
3793500160,20150312T000000,323000,3,2.5,1890,6560,2,3,7,1890,2003,98038,47.3684,2390,7570
1736800520,20150403T000000,662500,3,2.5,3560,9796,1,3,8,1860,1965,98007,47.6007,2210,8925
9212900260,20140527T000000,468000,2,1,1060,6000,1,4,7,860,1942,98105,47.69,1330,6000
104101516,20140528T000000,310000,3,1,1430,19901,1.5,4,7,1430,1927,98028,47.7558,1780,12697
6054650070,20141007T000000,400000,3,1.75,1370,9680,1,4,7,1370,1977,98074,47.6127,1370,10208
1075000570,20150312T000000,530000,5,2,1810,4850,1.5,3,7,1810,1900,98107,47.67,1360,4850
9297300055,20150124T000000,650000,4,3,2950,5000,2,3,9,1980,1979,98126,47.5714,2140,4000
1875500060,20140731T000000,395000,3,2,1890,14040,2,3,7,1890,1994,98019,47.7277,1890,14018
6865200140,20140529T000000,485000,4,1,1600,4300,1.5,4,7,1600,1916,98103,47.6648,1610,4300
16000397,20141205T000000,189000,2,1,1200,9850,1,4,7,1200,1921,98002,47.3089,1060,5095
7983200060,20150424T000000,230000,3,1,1250,9774,1,4,7,1250,1969,98003,47.3343,1280,8850
6300500875,20140514T000000,385000,4,1.75,1620,4980,1,4,7,860,1947,98133,47.7025,1400,4980
2524049179,20140826T000000,2.00E+06,3,2.75,3050,44867,1,3,9,2330,1968,98040,47.5316,4100,20336
7137970340,20140703T000000,285000,5,2.5,2270,6300,2,3,8,2270,1995,98092,47.3266,2240,7005
8091400200,20140516T000000,252700,2,1.5,1070,9643,1,3,7,1070,1985,98030,47.3533,1220,8386
3814700200,20141020T000000,329000,3,2.25,2450,6500,2,4,8,2450,1985,98030,47.3739,2200,6865
1202000200,20141003T000000,233000,3,2,1710,4697,1.5,5,6,1710,1941,98002,47.3048,1030,4705
1794500383,20140626T000000,937000,3,1.75,2450,2691,2,3,8,1750,1915,98109,47.6386,1760,3573
3303700376,20141201T000000,667000,3,1,1400,1581,1.5,5,8,1400,1909,98102,47.6221,1860,3861
5101402488,20140624T000000,438000,3,1.75,1520,6380,1,3,7,790,1948,98105,47.695,1520,6235
1873100390,20150302T000000,719000,4,2.5,2570,7173,2,3,8,2570,2005,98052,47.7073,2630,6026
8562750320,20141010T000000,580500,3,2.5,2320,3980,2,3,8,2320,2003,98027,47.5391,2580,3980
2426039314,20141201T000000,280000,2,1.5,1090,1265,3,3,7,1090,2005,98133,47.7274,1390,1756
461000390,20140624T000000,687500,4,1.75,2330,5000,1.5,4,7,1510,1929,98107,47.6823,1460,5000
7589200193,20141010T000000,535000,3,1,1090,3000,1.5,4,8,1090,1929,98107,47.6889,1570,5080
7955080270,20141203T000000,322500,4,2.75,2060,6659,1,3,7,1280,1981,98058,47.4276,2020,8720
9547205180,20140613T000000,696000,3,2.5,2300,3060,1.5,3,8,1510,1930,98105,47.6827,1590,3264
9435300030,20140528T000000,550000,4,1,1660,34848,1,1,5,930,1933,98052,47.6621,2160,10467
2768000400,20141230T000000,640000,4,2,2360,6000,2,4,8,2360,1904,98107,47.6702,1730,4700
7895500070,20150213T000000,240000,4,1,1220,8075,1,2,7,890,1969,98001,47.3341,1290,7800
2078500320,20140620T000000,605000,4,2.5,2620,7553,2,3,8,2620,1996,98056,47.5301,2620,10884
5547700270,20140715T000000,625000,4,2.5,2570,5520,2,3,9,2570,2000,98074,47.6145,2470,5669
7766200013,20140810T000000,775000,4,2.25,4220,24186,1,3,8,2600,1984,98166,47.445,2410,30617
7203220400,20140707T000000,861990,5,2.75,3595,5639,2,3,9,3595,2014,98053,47.6848,3625,5639
9270200160,20141028T000000,685000,3,1,1570,2280,2,3,7,1570,1922,98109,47.6413,1580,2640
1432701230,20140729T000000,309000,3,1,1280,9656,1,4,6,920,1959,98058,47.4485,1340,8808
8035350320,20140718T000000,488000,3,2.5,3160,13603,2,3,8,3160,2003,98019,47.7443,3050,9232
8945200830,20150325T000000,210490,3,1,990,8528,1,3,6,990,1966,98023,47.3066,1228,8840
4178300310,20140716T000000,785000,4,2.5,2290,13416,2,4,9,2290,1981,98007,47.6194,2680,13685
9215400105,20150428T000000,450000,3,1.75,1250,5963,1,4,7,1250,1953,98105,47.6796,970,5100
822039084,20150310T000000,1.35E+06,3,2.5,2753,65005,1,5,9,2165,1953,98070,47.4041,2680,72513
5245600105,20140916T000000,228000,3,1,1090,9199,1,3,7,1090,1955,98148,47.4258,1090,9364
7231300125,20150217T000000,345000,5,2.5,3150,9134,1,4,8,1640,1966,98056,47.4934,1990,9133
7518505990,20141231T000000,600000,3,1.75,1410,4080,1,4,7,1000,1950,98107,47.6808,1410,4080
3626039271,20150205T000000,585000,2,1.75,1980,8550,1,3,7,990,1981,98107,47.6989,1480,6738
4217401095,20150303T000000,920000,5,2.25,2730,6000,1.5,3,8,2130,1927,98105,47.6571,2730,6000
9822700295,20140512T000000,885000,4,2.5,2830,5000,2,3,9,2830,1995,98105,47.6597,1950,5000
9478500640,20140819T000000,292500,4,2.5,2250,4495,2,3,7,2250,2008,98042,47.3663,2250,4500
2799800710,20150407T000000,301000,3,2.5,2420,4750,2,3,8,2420,2003,98042,47.3663,2690,4750
7922800400,20140827T000000,951000,5,3.25,3250,14342,2,4,8,3250,1968,98008,47.588,2960,10044
8079040320,20150223T000000,430000,4,3,1850,9976,2,3,8,1850,1991,98059,47.5059,2270,8542
1516000055,20141210T000000,650000,3,2.25,2150,21235,1,4,8,1590,1959,98166,47.4336,2570,18900
9558200045,20140828T000000,289000,3,1.75,1260,8400,1,3,7,1260,1954,98148,47.4366,1290,8750
5072410070,20141021T000000,505000,3,1.75,2519,8690,2,5,8,2519,1973,98166,47.4428,2500,9500
9528102996,20141207T000000,549000,3,1.75,1540,1044,3,3,8,1540,2014,98105,47.6765,1580,3090
1089001080,20140603T000000,425000,3,2.25,1660,6000,1,3,7,1010,1979,98122,47.6103,1440,4080
3253500160,20141020T000000,317625,3,2.75,2770,3809,1.5,5,7,1770,1925,98144,47.5747,1440,4000
3394100030,20140909T000000,975000,4,2.5,2720,10049,2,3,10,2720,1989,98004,47.5815,2750,10049
3717000160,20141009T000000,287000,4,2.5,2240,4648,2,3,7,2240,2005,98001,47.3378,2221,4557
1274500060,20140825T000000,204000,3,1,1000,12070,1,4,7,1000,1968,98042,47.3621,1010,12635
1802000060,20140612T000000,1.33E+06,5,2.25,3200,20158,1,3,8,1600,1965,98004,47.6303,3390,20158
